,Reviews
2774,Мне понравился. 5
2775,Крутоооооооооооооооооооооооооооооооооооооооооооооой курс
2776,Спасибо большое!
2777,"Всем доброго дня )) Очень интересный, полезный и развернутый курс. До этого курса, многое уже было мною пройдено, но тут есть особые интересные уникальные случаи. Всем рекомендую, но если имеете уже чуть чуть знаний."
2778,"Хороший курс, рекомендую как старт перехода на Golang с других языков программирования"
2779,Большое спасибо за курс! Отличная возможность восполнить пробелы по химии!
2780,"Курс очень полезный и познавательный. Материал курса хорошо обработан, благодаря чему курс интересно проходить и особых сложностей не возникает, и даже если сложности возникают, благодаря обратной связи преподавателя, проблемы быстро находят своё решение. Благодаря этому курсу можно научиться работать с генетическими банками, составлять филогенетические деревья и правильно искать информацию в научных базах. Самое главное, можно научиться эффективно работать с этой информацией. Большое спасибо Алексею Владимировичу за такой познавательный курс!"
2781,"Отличный курс! Появилось представление: что такое ДНК, чем бактерии от вирусов отличаются! Класс! Ребята, огромное спасибо!"
2782,"Этот курс не сделает из вас программиста. Более того, он даже не прокачает ваши навыки владения синтаксисом питона. Вот к чему вас точно подготовят -- так к тому, что порой проще заплатить, чем ломать голову. О, нет, автор ни в коем случае не делает этого явно, часть видеоуроков в самом деле доступны бесплатно, и на основе их -- а попутно нескольких часов гугления материалов -- задачки действительно решаемы. Просто в любом сложном уроке ненавязчиво висит ссылочка на патребусти, предлагающая за малую денежку порешать всё за вас. Более того -- те, кто сдался и заплатил, теперь рьяно защищают как собственную позицию, так и желающего заработать на своих курсантах автора. Стокгольмский синдром, сами понимаете. Нет, начнётся всё здорово, хорошо -- и примерно до середины курса задачки действительно будут интересными, объяснения доходчивыми. Проблемы начнутся потом. Для тех, кто хочет знать чуть больше, чем самые основы. Частенько бывает так, что весь раздел состоит из одного платного видео без каких-либо уроков (например, крайне критичная тема кортежей) Кому я мог бы рекомедовать этот курс? Определённо не новичкам и начинающим. По сути, тут всего две категории людей, кому есть смысл поступать -- это людям, которые не прочь заплатить и не учиться (в чём я смысла вообще не вижу) и тем, кто и так всё это знает, а решает задачки исключительно в качестве хобби. Всем остальным настойчиво рекомендую поискать себе что-нибудь другое. Например, ""питон для начинающих"" или ""практические задачи"" -- их авторы хотя бы не пытаются заработать на бесплатном курсе. Домучивал последние задачки из голого упрямства. Всё решил, но удовольствия, познания чего-то нового начиная с шестого раздела нет, не было, и, скорее всего, не планируется. Три звезды за хорошее начало."
2783,"Большое спасибо за курс! Очень классно, последовательно и подробно подан материал. Были моменты (например, с operator new), которые в унике нам не давали, вообще никак, а они нужны, и тут они есть) <3"
2784,Отдельное спасибо за дополнительную информацию. Из замечаний:
2785,Очень интересно! Спасибо!
2786,Понятно все
2787,"Спасибо, курс понравился. Объяснения достаточно доступны. Было интересно узнать математические основы криптографии. Буду ждать новых курсов!"
2788,"Всем привет! Закончил этот курс только что (03.07.2020), прошел все за 12 дней, 256/256 баллов на текущий момент.
Это был мой первый курс на степике, да и по программированию в целом тоже (10 лет назад была попытка самостоятельного изучения as3.0 по книжке, но почти все забыл). Вкратце ""просто шикарный курс, безумно интересный в плане задач и того, как все организовано. Минимум болтовни и нудятины, максимум практики"". Мне, как человеку без технического образования, все далось достаточно легко (да, были затыки на некоторых заданиях, мозг поплавился, но спас форум и решения). Я не знаю почему он бесплатный, все ждал подвоха до самого последнего момента, но....курс на середине не тормознули, денег не потребовали. за это точно надо брать деньги. Однозначно рекомендую к прохождению. Ребята - организаторы, Вы молодцы, респект и уважуха!"
2789,"Очень полезный, бодрящий курс! Статистика может быть захватывающей =)"
2790,"То, что нужно! Спасибо Артему за курс!"
2791,"Курс просто великолепный! Гипотезы и ТТест - волшебно объяснено, в универе не зашло, а тут как по маслу! Практическая полезность регрессии пока не понятна, да я и знал МНК, но скорее всего это база и нужна(мож кто-то не знает). Мне МНК больше нравится в приложении к методам машинного обучения. Но это не умаляет, Гипотезы и ТТест повторюсь, просто восторг, огромное спасибо(еще и бесплатно)!"
2792,Хороший курс
2793,"Пожалуй лучший курс, для того, чтобы начать программировать!"
2794,Отличный курс. Позволил в краткие сроки освоить язык и достаточно быстро начать на нем писать. Структурой курса и содержанием более чем доволен
2795,В курсе собран материал в полном обьеме. Сократит Ваше время от скитаний и поиску.
2796,Курс очень помог разобраться со статистикой для изучения Data Science
2797,"Очень хороший курс, я полный новичок в программировании но благодаря этому курсу я очень многое узнал и смог хорошенько по практиковаться, и преподаватели достаточно хорошо объясняют материал темы. Мне все понравилось!"
2798,"Мне курс очень понравился, все сложное объяснено понятным и легким языком, на понятных всем примерах. Курс советую всем, кто уже хорошо решает первую чать ЕГЭ по профильной математике. Все в этом курсе хорошо, вот только мне немного не хватало примеров для самостоятельного решения. А так курс очень крутой, всем советую))))"
2799,Хороший курс!
2800,"Это хороший курс и Вам стоит обратить на него внимание, если Ваша цель - закрыть некоторые пробелы в дискретной математике. Курс не ставит перед собой цели сделать из слушателей лучших студентов МехМата, поэтому многие доказательства и объяснения даются не углублённо. Собственно, в этом и состоит цель ликбеза. Если Вам кажется, что проблема в лекторе, то, поверьте на слово, в нём нет никакой проблемы, несмотря на гневные комментарии. Все задачи решаемы с помощью лекций, дополнительный материал не требуется."
2801,"Отличный курс, очень радует наличие качественного конспекта ! Всем очень советую."
2802,"Неплохой курс! да приходится копаться в других источниках, да не все понятно сразу, но мы ученые и привыкли к поиску данных."
2803,"Анатолий, спасибо большое за прекрасный курс!"
2804,Понятный курс с хорошим объяснением материала. Однозначно рекомендую
2805,"Мне курс понравился, коротко и по сути."
2806,"Материал сначала подается легко и поглощаются, как редкие капли дождя сухой почвой. Но уже к середине информация затапливает и едва воспринимается. Надеюсь я когда-нибудь я его закончу."
2807,"Печально что последний модули почти без заданий, я понимаю конечно что те темы уже не скопировать с cdf или acmp но все же =/"
2808,"Очень понятный и интересный курс, после него еще больше хочется изучать программирование, спасибо"
2809,Всем доброго времени суток. Курс очень полезен и информативен. Большое за него спасибо. Из пожеланий - хотелось бы больше тестовых заданий для лучшего закрепления материала.
2810,не затронуты структуры и динамические массивы.
2811,"Спасибо большое за курс, особенно за интересные задачи! Очень полезный. Основные вещи в С++ затронуты на нетривиальных примерах"
2812,Спасибо
2813,"Очень понравилось, курс совсем нетривиальный"
2814,Очень полезный и понятный курс
2815,👍
2816,"Очень полезный и понятный курс, местами сложный, но как я думаю это плюс)))"
2817,Очень полезный курс
2818,То что нужно для начинающих.
2819,Очень хороший курс. Проходить его было одно удовольствие
2820,"Понравилось, было интересно!"
2821,Спасибо за отличный курс! Было интересно!
2822,Хороший курс
2823,Спасибо за курс
2824,"Огромная благодарность создателям курса! Отличный курс: прекрасная подача материала, информация дана четко без лишней ""воды"", интересные вопросы/задания, особенно иногда радовали комментарии во время выполнения того или иного ""сложного"" вопроса. Подведя итог: если интересна данная тема, смело начинайте процесс обучения на данном курсе, отбросив сомнения!"
2825,Ожидал большего Недостатков куча ответы не везде правильные или записаны некорректно. Многие видео отсутствуют. 4 звезды только за то что это лучший курс по физике на Степике
2826,Отличный сайт! тут можно реально натренировать свои базовые навыки по программированию
2827,"Спасибо за курс. Материал хорошо выдается. Освоил на зимних каникулах. Неплохо легло на лет 30 назад услышанный материал в университете. Рассматривал курс, как подготовка к освоению азов технологий ИИ. Хочу также поблагодарить платформу stepik. Спасибо!"
2828,"Курс отличный! Преподавание великолепное! Все разложено по полочкам. Без излишнего упрощения. Но, благодаря последовательной, четкой и логичной передаче информации, все усваивается. Задания интересные. Некоторые из них сложно сделать - ссылки на нужные для решения задачи программы, устарели, и приходится в новых программах разбираться самим. Это усложняет задачу (по сравнению с тем, как было у тех, кто решал эти задачи, когда курс только открыли). Но это, в целом, незначительная ложка дегтя в бочке меда, которую не сложно убрать. Я довольна полученными знаниями. Совершенно практичными. Которые можно использовать в работе. Считаю, что курс и преподаватели курса заслуживают максимальной оценки. Спасибо!"
2829,"Замечательный курс! Хотелось бы продолжения данного курса - по другим темам, или более углубленного. Сделала 100% заданий при знаниях, полученных только на этом курсе."
2830,"спасибо авторам за столь качественный курс! все изложено четко и понятно, я чувствую, что даже далекие от математики люди без особых проблем поняли бы, о чем речь."
2831,Спасибо. Было интересно.
2832,"впервые узнал на этом курсе, что далеко не все задачи в 11 номере на движение. Все типы задач разобраны подробно. Не составит труда подготовиться к 11 номеру с помощью этого курса!"
2833,Отличный курс!
2834,"Курс хороший с точки зрения того, что доступно объясняется теория, но очень мало заданий практических. Я перед ним проходила курс от яндекса (там как раз все базовые hello world есть)."
2835,Я до этого проходил курсы по введению в пайтон и поэтому всё понятно. Но для нулевого человека даже начало трудное!!! многое пропущено.
2836,"учитывая, что я биолог, курс проходил просто для развлечения. Уровень курса, конечно, безбожно низкий, но вроде как не для биологов, поэтому простительно. 5 баллов, увы, поставить не могу, потому что много недочетов, и даже были ошибки по ходу курса."
2837,"Классный курс. Спасибо автору, думаю после прохождения, так же пройду его курс по Джанго. Удачи всем!"
2838,"Хороший, годный курс. Некоторые задачи заставляют страдать, но оно того стоит)"
2839,"Хороший курс, но много опечаток и неточностей."
2840,"Курс огнище, мои рекомендации"
2841,"Присоединяюсь ко всем отзывам с пятью звездами, добавить нечего курс - топ. Получил неплохую базу для последующего изучения Python. В общем, рекомендую!"
2842,Отличный курс! Задачи интересные! Полтора месяца прошло на одном дыхании
2843,"Хороший курс. Удивляет, что за все время получено всего лишь 800 сертификатов. Рассказывается о молекулярной биологии на довольно-таки серьезном уровне для новичка. Бакалавру первых курсов биофака или меда, имеющему уровень знаний по биологии не выше школьных, окажется очень полезным. Для меня оказался идеальным: лектор не ходил ""по поверхности"", рассказывая лишь о следствиях внутриклеточных процессов, как это делается всегда в старшей школе, а старался заглянуть, что называется ""во внутрь"", то есть картину причинно-следственных связей между информацией."
2844,Вторая половина курса слабая
2845,"Большое спасибо за курс! Помог вспомнить то, что изучала в институте, обязательно продолжу обучение на углубленном курсе."
2846,Офигительный курс! Анатолий все по полочкам раскладывает!
2847,"Интересный курс. На некоторые базисные понятия посмотрела с новой стороны. Но почти вся информация дана в виде видео, что не всегда удобно для слушателя. Также часть вопросов тестов сформулированы очень замысловато, иногда ответ приходилось подбирать методом проб и ошибок."
2848,Ок
2849,👍
2850,"Мой первый курс. В 25 часов не уложился. Около 50-60 потратил. Но оно тго стоило, скажу я вам. Спасибо!"
2851,"Я не знаю русского языка, но я буквально почувствовал, что сказал Шелдон!! Очень полезно и увлекательно!"
2852,Отличный вводный курс. Материал преподнесен понятно и без лишней воды.
2853,Очень хороший курс 👍🏼👍🏼
2854,Спасибо было очень интересно
2855,Плюсы: - хороший академический курс - решение всех заданий от преподавателя с ответами Минусы: - оторван от практики - почти нет примеров решений/применений
2856,"Курс очень понравился! Огромная признательность, за проделанную работу. Остались пробелы по реакциям замещения с неметаллами, а так же с реакциями обмена с количеством реагентов более 2-х. Но учитывая, что все это бесплатно, все равно огромное спасибо."
2857,"Сначала курс не нравился, но я не бросаю начатого, и в этом случае повезло. так как качество и глубина от лекции к лекции только росли, и в итоге стало ясно, что таким образом аудитория шире. Потому что понятно, интересно и школьникам и взрослым, и интересующимся и профи. В общем если вам поначалу покажется что как-то не очень и в комментариях будет много бочек в сторону организаторов, не слушайте, идите дальше, курс отличный и оно явно того стоит! Спасибо, кстати, за него большое организаторам)"
2858,"Курс лучший, который я проходил или прохожу сейчас. Ни разу не пожалел что оформил подписку. Жду продвинутого курса и курса по Джанго. И по SQL если получится."
2859,Для повторения самое то
2860,"очень крутой курс, всем советую 10/10"
2861,"Из курсов по программе ""Анализ данных"" Python дался намного проще. Да задачи оказываются на проверку простые, но иногда уходило несколько часов чтобы понять правильно условие. Может просто были мозги не совсем приспособлены к такой постановке задач. Но в итоге считаю курс очень полезным. Но вот рецензирования заданий приходится очень долго ждать."
2862,"Спасибо за данный курс, очень понравились задачки, местами трудные, 6 заданий не смог сам решить, пришлось идти за советом к преподу, который и послал учится на Stepik."
2863,"Большое спасибо автору, я уверен, что он пытался донести весь смысл максимально просто. К большому сожалению это не совсем получилось, поскольку зачастую терминология наслаивается одна на другую и это очень сильно путает. Более того, катастрофически не хватает практических задач."
2864,"Информативно и полезно. Очень нехватало побольше задач с расчетами, где ответы нужно было выдавать в виде чисел. К сожалению в комментариях до ответа есть спойлеры, рекомендую не читать, а разбираться самостоятельно."
2865,отличный курс с доходчивыми объяснениями
2866,Это очень качественное изложение основ математической статистики. Крайне рекомендую!
2867,"Очень хороший курс - для бесплатного курса. Все дается несколько поверхностно, без углубления в детали - но понять суть можно. К этому курсу не хватает практических заданий из более-менее реальной жизни, которые не получится решить на калькуляторе."
2868,"Алексей, огромное спасибо за курс! Пока что это лучший курс по Python, который я встречал на Степике. Учитывая объем и качество проработки курса, удивлён, что он находится в свободном доступе. Пользуемся, пока есть такая возможность ;)"
2869,"Классный курс, спасибо!"
2870,Молодцы!
2871,"Прекрасный курс, такой же хороший, как и все курсы от Тимура Гуева. Она просто милашка!!! Наконец разобралась в экономических задачах, все объясняется понятно и подробно.Спасибо огромное за курс!!!"
2872,"Очень хороший курс, данные задачи тренируют понимание предмета. Большое спасибо авторам курса!"
2873,Хороший и весьма понятный курс. Задачи олимпиадного характера. В обсуждениях живы добровольцы-модераторы - огромное им спасибо за полезные ссылки!
2874,"Курсом доволен. Идёт поэтапное изучение всех типов текстовых задач с внятным объяснением хода их решения, а также даются задачи для самостоятельного решения. Годно"
2875,Прекрасный курс! Хорошо пересматривать для закрепления полученных знаний. Хотелось бы продолжения с более подробным и углубленным пониманием многих процессов.
2876,Огромное спасибо авторам за проект! Дико полезная вещь - реальная практика. Только сделав работающий код своими мозгами/руками - постигаешь нюансы языка и кодинга на нём с должной глубиной.
2877,чудесный курс! огромная благодарность авторам!
2878,"Курс классный! Видно, что лектор - профессионал своего дела. Доказательства теорем, лемм и утверждений строгие, хоть и не всегда понятные, а вот многие понятия объясняются на примерах. За это - отдельное спасибо!"
2879,"Курс очень хороший, хотелось бы побольше практических задач, и побольше тем. Информация изложена понятно, задачи интересные."
2880,"Материал интересный, но много ошибок"
2881,"Местами курс бедный на объяснения. Если это первый курс, то бывает достаточно сложно проходить задания по темам. А так радует что фри курс)"
2882,Отличный курс
2883,"Курс действительно для начинающих, автор - красавчик, задачи - огонь. Шероховатости есть, но для начинающих - это нормально, не перегружает мозг. Но в дальнейшем надо разобраться и в точности вычислений и совмещении типов. Спасибо."
2884,"Великолепно. Курс неплохо инспирирует на знания по теме. Хотелось бы, чтобы тестовых заданий в каждом уроке было больше, поскольку многие важные моменты, не подкрепленные вопросом, быстрее теряются в памяти. Хотелось бы, чтобы вышел курс продолжения, касающийся конкретно модуля молекулярной биологии, поскольку генетика и клеточная биология более наглядны, и понять их самостоятельно немного проще. Спасибо!"
2885,"Я новичок в программировании и курс помог выстроить алгоритмическое мышление. Были и очень легкие задачи и очень сложные, где нужно подумать."
2886,"Любовь приходит на цыпочках, а уходит, громко хлопнув дверью"
2887,интересно
2888,"Курс замечательный! Идея с текстовым резюме в конце каждого урока очень-очень полезная! Иногда, не имея необходимой базы, сложно вникать в суть: было бы здорово, если бы каждый урок сопровождался источниками, которые на взгляд составителей полезно изучить для лучшего понимания. Также иногда задания после степа не всегда были полностью освещены в видео-лекции, или уходили совсем в сторону. Иногда это вводит в смятение и немного дезориентирует, но спасают комментарии первопроходцев :) В общем, большое спасибо! Жду продолжения! Было бы интересно продолжить изучение клеточных взаимодействий различных структур организма, понять, почему одни клетки нервные, а другие - какие-нибудь другие!"
2889,"Очень полезный курс, быстро усваивается информация благодаря практическим задачам. Спасибо большое авторам!)"
2890,"Потрясающие курсы! И почему в школе я химию так не любила. Побольше бы таких учителей. Все просто, доступно и с юмором! Жаль, нет продолжения."
2891,"Отличный курс, чтобы начать изучение молекулярную биологию, узнать об этом в общих чертах, чтобы потом было более понятнее, также в курсе можно погрузиться в азы биомедицины. Здоровский курс! Можно пройти за несколько часов. Рекомендую к прохождению даже если просто интересует биология)"
2892,"Спасибо большое за этот курс. Благодаря нему, я смогла закрыть пробелы в знаниях, потренировалась решать егэшные неравенства и узнала новую для себя тему❤"
2893,"Хороший курс для начинающих обучаться писать на го, если уже писал на других языках, хотябы в школе на паскале. Если начинать с полных нулей - не уверен. Дает общее понимание языка и знакомит с синтаксисом. Из минусов: иногда задачи ставятся довольно криво, но в коментах к задаче сто проц уже поднимался подобный вопрос, так что подсказки и пояснения вы найдете. Совет начинающим: не сидите долго на степике. Чем быстрее начнете программировать - тем лучше. Обязательно качайте голэнд - тоже очень помогает. Спасибо создателям курса"
2894,"Мне понравился курс. Для школьников в самый раз, мне же помог немного вспомнить арифметику. С подачей все отлично, на Марину приятно смотреть и слушать- люблю умных девушек ) А вот с содержанием порой пробелы, часто не хватает объяснений. Хотя гугл решает все проблемы. Обратной связи с создателями курса хотелось бы побольшею Но в целом все отлично, рекомендую!"
2895,"Проходил курс давненько, но еще не забыл. Значит, информация хорошо закрепилась. Курс позволил быстро освежить и систематизировать имеющиеся знания по дискретке. Принципиально нового не узнал, но на то он и ЛикБез. За понятное объяснение базовых вещей и хорошую практику - 5. Для начального знакомства, наверно, самое то!"
2896,"По моим ощущениям (только вот завершил курс) автор изложил более чем достаточно для начинающего Python программиста в доступной форме с вниманием к нужным деталям. Да, абсолютно идеальным для меня курс являлся бы при условии наличия хоть какого-нибудь практического ДЗ по threading и asyncio, ведь действительно непросто начинающему воспринимать такие вещи чисто через объемную теорию и примеры без практики ""от первого лица"". В тоже время сложность темы ограничивает (по крайней мере мои) возможности самостоятельного эксперементирования с многочисленными (за что спасибо) примерами для лучшего понимания. Но такая придирка меркнет на фоне того, что данный модуль в принципе включен в курс за такую цену, и что он действительно сделан не для галочки, ведь объяснения всё равно ценные а замечания полезные и дальновидные (думаю, вернусь к этим лекциям ещё не раз). Опять же, по моим ощущениям я теперь точно знаю, куда мне следует ""копать"", как расти, и что для этого делать. Нет причин, из-за которых я бы мог ""сожалеть"" о приобритении данного курса."
2897,Спасибо. Курс был полезный и удобный. Не перегружен.
2898,Прекрасные курсы по статистике!! Очень рекомендую вместе с курсом по анализу данных в R! Спасибо большое авторам!!!
2899,"Курс очень помог подготовиться к ОГЭ. Уверенна, что сдам не ниже, чем 4, а раньше писала на 3"
2900,"Этот курс очень понравился (этот мне показался даже лучше и интереснее, чем предыдущий). Подача материала доступная, задачи интересные, но без фанатизма, комьюнити вообще топ - много толковых комментариев и всегда можно легко разобраться если что-то не понял. Рекомендую!"
2901,"Это не курс, а какая-то максимально бесполезная заготовка курса"
2902,"Очень рад что свое изучение python начал именно с курсов ""Поколение Python"". Теоретические материалы курса изложены в доступной форме, множество практических задач разной сложности на закрепление материала. Учеба на курсе просто увлекает. Хочется его проходить, решать задачи еще и еще. И чем сложнее задача, тем большее удовольствие получаешь от результата. Авторы, благодаря Вам у меня появилось новое увлечение - программирование на Python. С нетерпением жду продолжения ""Поколение Python"""
2903,"Самое то для того что бы начать понимать, что происходит!"
2904,Отличный курс благодарю которому появился заметный прогресс
2905,"Курс понравился. Есть небольшие неточности (по синтезу олигов, в частности, и в заданиях странности бывают). Спасибо авторам курса за проделанную работу."
2906,"Очень хорошее объяснение каждой темы , теперь статистика уже не кажется такой сложной"
2907,"Большое спасибо за курс! Коротко, ёмко, сложно, но вселяет желание продолжить изучать статистику."
2908,"Лектор объясняет хорошо, но очень много неточностей: округлить до целых, ответ с десятыми долями и наоборот, в условиях количество, а в ответе масса. В задаче последнего модуля что брать гидрид или гидрксид калия? Решение совсем разное. Нужно лектору быть внимательнее"
2909,"Здравствуйте! Хочу сказать спасибо за данный курс! Понравилось, что на курсе много дополнительных материалов, полезных ссылок, вводной информации об олимпиадах. Как преподаватель также хочу отметить грамотную структуру курса, интересные задачи и красиво изложенную теорию."
2910,"Хороший курс, очень много нового узнал. Спасибо!"
2911,"Легендарнейший курс, только что закончил его и впечатления только самые прекрасные, наверное это лучший курс по c++, неверотяно интересные тонкости данного языка были разобраны, отдельно хочу отметить задачи, они прекрасны, не смотря на всю их сложность. Получил огромное удовольствие от прохождения данного курса, а самое главное знания. Что касается себя, я конечно не всё усвоил довольно хорошо не смотря на то что прошёл курс на 100%. Однозначно буду пользоваться материалами данного курса при подготовке к стажировке, надеюсь у меня всё получится. Хочу поблагодарить всех разработчиклв данного курса за их труд, курс получился шикарным, советую каждым , кто хочет изучить c++ пройти этот курс"
2912,Идеальный курс по С++
2913,"Хороший курс, милый лектор. Хорошо бы его расширить"
2914,"Отличный курс для тех, у кого проблемы с текстовыми задачами"
2915,"Очень интересные курсы.Уровни сложности разные.Были,конечно,затруднения,но я всё равно справилась.Хочу поблагодарить педагога который ведёт этот курс.Спасибо,вам,большое!"
2916,лучше даже платных курсов
2917,Спасибо за курс!
2918,"Если в будущем вдруг возникнет необходимость создать образовательную программу, то это хороший ориентир. p.s. хотелось бы в рамках возможных следующих курсов еще рассмотреть регулярные выражения и структуры данных как очереди, стеки, деки и другие."
